site_id,latitude,longitude,depth_m,MN_FT
AQ,42.530029999999996,-70.852885999999998,-3.7565947,8.920000000000000
CB,42.657200000000003,-70.682749999999999,-2.6267455,8.789999999999999
CI,42.001460000000002,-70.641480000000001,-2.3487449,9.760000000000000
DC,42.668010000000002,-70.674220000000005,-3.2398181,8.760000000000000
LH,42.437010000000001,-70.952759999999998,-2.3225703,9.140000000000001
NB,42.598089999999999,-70.656689999999998,-3.1357603,8.789999999999999
PC,41.985669999999999,-70.682329999999993,-2.0049808,9.750000000000000
PI,42.420020000000001,-70.915920000000000,-3.6536908,9.050000000000001
SH,42.003430000000002,-70.615060000000000,-2.0227816,9.380000000000001
WB,42.556350000000002,-70.808480000000003,-4.5181098,8.880000000000001
CC,41.595157000000000,-70.911218000000005,-1.2436661,3.550000000000000
DL,41.528514000000001,-70.976588000000007,-0.7619605,3.270000000000000
GB,41.524994999999997,-70.673056000000003,1.5841510,1.740000000000000
LI,41.611944999999999,-70.648689000000005,-0.8858618,3.840000000000000
OB,41.741083000000003,-70.657150999999999,-0.6993722,3.510000000000000
WC,41.690511000000001,-70.647105999999994,-0.9957883,3.940000000000000
WI,41.582794000000000,-70.824287999999996,-0.6881743,3.640000000000000
