"","site.id","date.deployment","mean.lum.per.sqrft","med.lum.per.sqrft","min.lum.per.sqrft","max.lum.per.sqrft"
"1","AQ",2024-05-07,676.927786499215,464,3,3968
"2","AQ",2024-09-30,182.773940345369,128,0,1344
"3","AQ",2025-05-08,464.117739403454,336,2,2816
"4","CB",2024-05-07,1140.68288854003,768,4,8704
"5","CB",2024-09-30,409.431711145997,272,0,2176
"6","CB",2025-05-08,580.718995290424,368,2,4096
"7","CI",2024-05-15,962.665620094191,608,0,7168
"8","CI",2025-06-04,1017.48351648352,608,13,13312
"9","DC",2024-05-07,937.420722135008,672,4,5120
"10","DC",2024-09-30,327.403453689168,256,0,1664
"11","DC",2025-05-08,414.781789638932,336,2,2304
"12","LH",2024-05-15,684.307692307692,496,4,3456
"13","PC",2024-05-15,1553.12872841444,992,5,19456
"14","PC",2024-10-08,662.882260596546,400,0,8192
"15","SH",2024-05-15,1548.82260596546,1152,15,9216
"16","SH",2024-10-08,715.701726844584,400,0,6400
"17","SH",2025-06-04,1501.85400313972,992,41,11776
"18","WB",2024-05-07,602.682888540031,480,5,2560
"19","WB",2024-10-22,136.332810047096,128,0,464
"20","WB",2025-05-08,507.734693877551,368,1,3072
"21","WB",2025-07-15,458.235478806907,352,11,1920
